total time excited,233267,
total time image,49871.1,
total number of excited,84277,
total number of image,12441,
average time excited,2.76786,
average time image,4.00861,
2018-02-14-08-05-44-555,excited,2.679
2018-02-14-08-06-12-903,excited,2.683
2018-02-14-08-06-19-708,excited,2.663
2018-02-14-08-07-06-294,excited,2.675
2018-02-14-08-10-58-940,excited,2.695
2018-02-14-08-12-20-858,excited,2.665
2018-02-14-08-15-54-267,excited,2.686
2018-02-14-08-15-58-578,excited,2.682
2018-02-14-08-18-19-406,excited,2.657
2018-02-14-08-19-56-110,excited,2.666
2018-02-14-08-22-27-905,excited,2.693
2018-02-14-08-23-08-090,excited,2.684
2018-02-14-08-23-14-190,excited,2.683
2018-02-14-08-23-47-765,excited,2.69
2018-02-14-08-27-10-932,excited,2.686
2018-02-14-08-28-13-547,excited,2.683
2018-02-14-08-29-47-508,excited,2.672
2018-02-14-08-33-00-973,excited,2.682
2018-02-14-08-33-10-076,excited,2.67
2018-02-14-08-33-56-294,excited,2.691
2018-02-14-08-34-00-672,excited,2.679
2018-02-14-08-35-19-627,excited,2.687
2018-02-14-08-36-08-825,excited,2.668
2018-02-14-08-38-24-296,excited,0.196
2018-02-14-08-38-24-907,Image,0.61
2018-02-14-08-38-26-930,excited,2.023
2018-02-14-08-40-15-488,excited,2.692
2018-02-14-08-43-15-313,excited,2.691
2018-02-14-08-44-08-718,excited,2.687
2018-02-14-08-46-53-316,excited,2.684
2018-02-14-08-47-22-683,excited,0.08
2018-02-14-08-47-24-083,Image,1.4
2018-02-14-08-47-26-085,excited,2.002
2018-02-14-08-48-19-201,excited,0.115
2018-02-14-08-48-20-681,Image,1.479
2018-02-14-08-48-22-709,excited,2.028
2018-02-14-08-48-37-434,excited,0.226
2018-02-14-08-48-39-314,Image,1.879
2018-02-14-08-48-41-338,excited,2.024
2018-02-14-08-48-42-335,excited,0.198
2018-02-14-08-48-45-064,Image,2.728
2018-02-14-08-48-46-939,excited,1.876
2018-02-14-08-49-26-965,Image,40.025
2018-02-14-08-49-28-988,excited,2.022
2018-02-14-08-49-31-054,excited,0.196
2018-02-14-08-49-49-314,Image,18.259
2018-02-14-08-49-51-345,excited,2.032
2018-02-14-08-49-52-921,excited,3.607
2018-02-14-08-49-54-916,Image,1.996
2018-02-14-08-49-56-927,excited,2.01
2018-02-14-08-55-11-166,excited,2.689
2018-02-14-08-55-59-169,excited,2.69
2018-02-14-08-56-48-081,excited,51.602
2018-02-14-08-56-48-471,Image,0.39
2018-02-14-08-56-50-494,excited,2.023
2018-02-14-08-57-07-271,excited,2.676
2018-02-14-08-57-42-919,excited,2.657
2018-02-14-08-58-19-335,excited,3.2
2018-02-14-09-05-29-321,excited,2.699
2018-02-14-09-06-03-463,excited,2.673
2018-02-14-09-07-57-994,excited,2.684
2018-02-14-09-08-16-040,excited,2.697
2018-02-14-09-09-08-109,excited,2.683
2018-02-14-09-09-34-463,excited,2.684
2018-02-14-09-09-59-117,excited,2.674
2018-02-14-09-11-09-328,excited,2.683
2018-02-14-09-14-07-684,excited,2.682
2018-02-14-09-15-53-549,excited,2.669
2018-02-14-09-17-50-079,excited,2.685
2018-02-14-09-19-04-804,excited,2.673
2018-02-14-09-19-49-322,excited,2.688
2018-02-14-09-20-40-903,excited,2.684
2018-02-14-09-21-00-622,excited,2.666
2018-02-14-09-21-19-789,excited,2.693
2018-02-14-09-22-45-226,excited,2.668
2018-02-14-09-23-10-459,excited,2.66
2018-02-14-09-23-42-326,excited,2.676
2018-02-14-09-24-20-734,excited,0.107
2018-02-14-09-24-27-658,Image,6.924
2018-02-14-09-24-29-694,excited,2.036
2018-02-14-09-25-08-901,excited,2.671
2018-02-14-09-26-27-366,excited,2.682
2018-02-14-09-28-05-067,excited,2.698
2018-02-14-09-29-38-523,excited,2.694
2018-02-14-09-29-44-630,excited,2.69
2018-02-14-09-29-53-336,excited,2.679
2018-02-14-09-30-16-778,excited,2.691
2018-02-14-09-32-09-127,excited,2.703
2018-02-14-09-33-18-134,excited,2.699
2018-02-14-09-36-14-639,excited,2.657
2018-02-14-09-36-17-752,excited,2.687
2018-02-14-09-36-24-869,excited,2.687
2018-02-14-09-37-21-361,excited,2.679
2018-02-14-09-37-39-508,excited,2.674
2018-02-14-09-38-57-852,excited,2.696
2018-02-14-09-40-53-560,excited,2.683
2018-02-14-09-41-25-613,excited,2.672
2018-02-14-09-41-39-842,excited,2.683
2018-02-14-09-43-01-082,excited,2.657
2018-02-14-09-43-43-178,excited,2.692
2018-02-14-09-44-23-562,excited,2.68
2018-02-14-09-45-18-250,excited,2.685
2018-02-14-09-45-54-500,excited,2.664
